news_headline,news_article,news_category,full_text,clean_text
"Amazon sells shoes, doormats with images of Hindu Gods; criticised","Amazon faced a social media backlash in India on Thursday after toilet seat covers, shoes, doormats, yoga mats and other items with images of Hindu Gods were spotted on its US website. In 2017, Amazon removed doormats resembling India's flag from its Canadian site after External Affairs Minister Sushma Swaraj threatened to rescind visas of the US company's employees.",technology,"Amazon sells shoes, doormats with images of Hindu Gods; criticised. Amazon faced a social media backlash in India on Thursday after toilet seat covers, shoes, doormats, yoga mats and other items with images of Hindu Gods were spotted on its US website. In 2017, Amazon removed doormats resembling India's flag from its Canadian site after External Affairs Minister Sushma Swaraj threatened to rescind visas of the US company's employees.",amazon sell shoe doormat image hindu god criticise amazon face social medium backlash india thursday toilet seat cover shoe doormat yoga mat item image hindu god spot us website amazon remove doormat resemble india flag canadian site external affair minister sushma swaraj threaten rescind visa us company employee
German startup shows world's 1st electric 5-seater air taxi,"Munich-based startup Lilium unveiled what it claims is the world's first all-electric, jet-powered, five-seater air taxi prototype after successfully completing the full-scale prototype's maiden test earlier this month. The air taxi will have a 300 km range with a top speed of 300 kmph. Lilium intends to be operational in cities globally by 2025, providing an app-based air taxi service.",technology,"German startup shows world's 1st electric 5-seater air taxi. Munich-based startup Lilium unveiled what it claims is the world's first all-electric, jet-powered, five-seater air taxi prototype after successfully completing the full-scale prototype's maiden test earlier this month. The air taxi will have a 300 km range with a top speed of 300 kmph. Lilium intends to be operational in cities globally by 2025, providing an app-based air taxi service.",german startup show world st electric seater air taxi munich base startup lilium unveil claim world first electric jet power five seater air taxi prototype successfully complete full scale prototype maiden test earlier month air taxi km range top speed kmph lilium intend operational city globally provide app base air taxi service
Apple to not debut its own 5G chip before 2025: Reports,"Apple's plans to introduce its own 5G chips could take up to six years, as per reports. Apple has reportedly said, in interviews with prospective hires for the team developing the chips, that it expects the 5G chips to be developed by 2025. Apple recently ended the two-year-long patent dispute with Qualcomm, gaining access to the chipmaking giant's chips.",technology,"Apple to not debut its own 5G chip before 2025: Reports. Apple's plans to introduce its own 5G chips could take up to six years, as per reports. Apple has reportedly said, in interviews with prospective hires for the team developing the chips, that it expects the 5G chips to be developed by 2025. Apple recently ended the two-year-long patent dispute with Qualcomm, gaining access to the chipmaking giant's chips.",apple not debut g chip report apple plan introduce g chip could take six year per report apple reportedly say interview prospective hire team develop chip expect g chip develop apple recently end two year long patent dispute qualcomm gain access chipmake giant chip
Huawei willing to sign 'no-spy' pacts with govts: Chairman,"Huawei Chairman Liang Hua has said the company is willing to sign 'no-spy' agreements with governments, including Britain. The UK is deciding the extent to which it will allow Huawei, the world's biggest telecoms equipment supplier, to participate in building its 5G networks. This comes amid US pressure on European countries to boycott the Chinese technology giant over espionage concerns.",technology,"Huawei willing to sign 'no-spy' pacts with govts: Chairman. Huawei Chairman Liang Hua has said the company is willing to sign 'no-spy' agreements with governments, including Britain. The UK is deciding the extent to which it will allow Huawei, the world's biggest telecoms equipment supplier, to participate in building its 5G networks. This comes amid US pressure on European countries to boycott the Chinese technology giant over espionage concerns.",huawei willing sign no spy pact govt chairman huawei chairman liang hua say company willing sign no spy agreement government include britain uk decide extent allow huawei world big telecom equipment supplier participate build g network come amid us pressure european country boycott chinese technology giant espionage concern
2 teams jointly win $10 million in Elon Musk-backed XPRIZE,"Two teams have jointly won $10-million prize of Global Learning XPRIZE, which counts Elon Musk among supporters and benefactors. Kitkit School, from the US and South Korea and Onebillion from the UK and Kenya, both developed tablet apps to aid student learning. Bengaluru's Chimple was among five finalists in 2017, which received $1 million and tested their technology in Tanzania.",technology,"2 teams jointly win $10 million in Elon Musk-backed XPRIZE. Two teams have jointly won $10-million prize of Global Learning XPRIZE, which counts Elon Musk among supporters and benefactors. Kitkit School, from the US and South Korea and Onebillion from the UK and Kenya, both developed tablet apps to aid student learning. Bengaluru's Chimple was among five finalists in 2017, which received $1 million and tested their technology in Tanzania.",team jointly win million elon musk back xprize two team jointly win million prize global learning xprize count elon musk among supporter benefactor kitkit school us south korea onebillion uk kenya develop tablet app aid student learning bengalurus chimple among five finalist receive million test technology tanzania
One of 1st Apple PCs built by Steve Jobs to be auctioned,"One of only 200 units of Apple's first-ever personal computers, Apple-1, designed and built by Apple Co-founders Steve Wozniak and Steve Jobs, is being auctioned online from May 16-23. ""[We're offering] a rare example of the first personal computer sold with a fully assembled motherboard,"" global auction house Christie's said. It's reportedly estimated to fetch up to around ₹4.5 crore.",technology,"One of 1st Apple PCs built by Steve Jobs to be auctioned. One of only 200 units of Apple's first-ever personal computers, Apple-1, designed and built by Apple Co-founders Steve Wozniak and Steve Jobs, is being auctioned online from May 16-23. ""[We're offering] a rare example of the first personal computer sold with a fully assembled motherboard,"" global auction house Christie's said. It's reportedly estimated to fetch up to around ₹4.5 crore.",one st apple pcs build steve job auction one unit apple first ever personal computer apple design build apple co founder steve wozniak steve job auction online may [ offer ] rare example first personal computer sell fully assemble motherboard global auction house christie say reportedly estimate fetch around crore
Brought me to tears: Detained Huawei CFO on staff's support,"Huawei CFO Meng Wanzhou in a letter to the Chinese company's 1,88,000 employees said she was brought to tears after seeing them staying up all night to follow her case in distant time zones, adding it has filled her ""with power"". Meng has been detained in Canada since December, where she is fighting US extradition for allegedly violating Iran sanctions.",technology,"Brought me to tears: Detained Huawei CFO on staff's support. Huawei CFO Meng Wanzhou in a letter to the Chinese company's 1,88,000 employees said she was brought to tears after seeing them staying up all night to follow her case in distant time zones, adding it has filled her ""with power"". Meng has been detained in Canada since December, where she is fighting US extradition for allegedly violating Iran sanctions.",bring tear detain huawei cfo staff support huawei cfo meng wanzhou letter chinese company employee say bring tear see stay night follow case distant time zone add fill power meng detain canada since december fight us extradition allegedly violate iran sanction
iPhone price may rise 3% over US-China trade war: Report,"Tariffs on the iPhone's China-made batteries and other components would increase its manufacturing cost by 2% to 3%, a report said, adding Apple would need to increase iPhone prices by a similar amount to make the same profit. The US raised tariffs on $200 billion worth of Chinese products and China retaliated with tariffs on $60 billion of US goods.",technology,"iPhone price may rise 3% over US-China trade war: Report. Tariffs on the iPhone's China-made batteries and other components would increase its manufacturing cost by 2% to 3%, a report said, adding Apple would need to increase iPhone prices by a similar amount to make the same profit. The US raised tariffs on $200 billion worth of Chinese products and China retaliated with tariffs on $60 billion of US goods.",iphone price may rise us china trade war report tariff iphone china make battery component would increase manufacturing cost report say add apple would need increase iphone price similar amount make profit us raise tariff billion worth chinese product china retaliate tariff billion us good
"Flipkart in talks with Nokia, Motorola to make TVs: Report","Flipkart is in talks with international original equipment manufacturers to make electronics for sale on its platform, as per reports. It's reportedly in advanced-stage talks with Nokia and Motorola, which plan to introduce TV models in India by next year. Flipkart also aims to collaborate with Sansui to launch smaller home appliances such as juicers, grinders and other kitchen appliances. ",technology,"Flipkart in talks with Nokia, Motorola to make TVs: Report. Flipkart is in talks with international original equipment manufacturers to make electronics for sale on its platform, as per reports. It's reportedly in advanced-stage talks with Nokia and Motorola, which plan to introduce TV models in India by next year. Flipkart also aims to collaborate with Sansui to launch smaller home appliances such as juicers, grinders and other kitchen appliances. ",flipkart talk nokia motorola make tvs report flipkart talk international original equipment manufacturer make electronic sale platform per report reportedly advanced stage talk nokia motorola plan introduce tv model india next year flipkart also aim collaborate sansui launch small home appliance juicer grinder kitchen appliance
Google Translatotron can translate speech in speaker's voice,Google is developing a new translation model called Translatotron that can directly convert speech from one language into another while maintaining a speaker's voice. It skips the usual step of translating speech to text and back to speech. Translatotron uses a sequence-to-sequence network model that processes voice input as a spectrogram and generates a new spectrogram in the target language.,technology,Google Translatotron can translate speech in speaker's voice. Google is developing a new translation model called Translatotron that can directly convert speech from one language into another while maintaining a speaker's voice. It skips the usual step of translating speech to text and back to speech. Translatotron uses a sequence-to-sequence network model that processes voice input as a spectrogram and generates a new spectrogram in the target language.,google translatotron translate speech speaker voice google develop new translation model call translatotron directly convert speech one language another maintain speaker voice skip usual step translate speech text back speech translatotron use sequence sequence network model process voice input spectrogram generate new spectrogram target language
"Facebook, Amazon back pact to fight extremist content online","Facebook, Microsoft, Google, Twitter and Amazon at a meeting in Paris signed up for Christchurch Call, a commitment by governments and technology companies to eliminate terrorist and violent extremist content online. They also committed to nine-point plan to address abuse of technology to spread terrorist content. A March terror attack on two mosques in New Zealand's Christchurch claimed 51 lives.",technology,"Facebook, Amazon back pact to fight extremist content online. Facebook, Microsoft, Google, Twitter and Amazon at a meeting in Paris signed up for Christchurch Call, a commitment by governments and technology companies to eliminate terrorist and violent extremist content online. They also committed to nine-point plan to address abuse of technology to spread terrorist content. A March terror attack on two mosques in New Zealand's Christchurch claimed 51 lives.",facebook amazon back pact fight extremist content online facebook microsoft google twitter amazon meeting paris sign christchurch call commitment government technology company eliminate terrorist violent extremist content online also commit nine point plan address abuse technology spread terrorist content march terror attack two mosque new zealand christchurch claim life
"Wikipedia blocked in China in all languages, confirms owner","The Wikimedia Foundation, that runs Wikipedia, has confirmed that the free community-edited encyclopaedia is currently blocked in China in all languages. The Chinese language version of the site was previously banned in the country, wherein reportedly about 10,000 sites are banned. In late April, Wikimedia had determined that Wikipedia was no longer accessible in China, Wikimedia said.",technology,"Wikipedia blocked in China in all languages, confirms owner. The Wikimedia Foundation, that runs Wikipedia, has confirmed that the free community-edited encyclopaedia is currently blocked in China in all languages. The Chinese language version of the site was previously banned in the country, wherein reportedly about 10,000 sites are banned. In late April, Wikimedia had determined that Wikipedia was no longer accessible in China, Wikimedia said.",wikipedia block china language confirm owner wikimedia foundation run wikipedia confirm free community edit encyclopaedia currently block china language chinese language version site previously ban country wherein reportedly site ban late april wikimedia determine wikipedia no longer accessible china wikimedia say
WhatsApp will never be secure: Telegram CEO Pavel Durov,"Telegram Co-founder and CEO Pavel Durov, in a blog post titled 'Why WhatsApp will never be secure', said the Facebook-owned platform isn't open-source, which makes it difficult for security researchers to check for existing backdoors. ""No wonder dictators seem to love WhatsApp,"" he said, adding, ""Its lack of security allows [criminals and authoritarian governments] to spy on their own people.""",technology,"WhatsApp will never be secure: Telegram CEO Pavel Durov. Telegram Co-founder and CEO Pavel Durov, in a blog post titled 'Why WhatsApp will never be secure', said the Facebook-owned platform isn't open-source, which makes it difficult for security researchers to check for existing backdoors. ""No wonder dictators seem to love WhatsApp,"" he said, adding, ""Its lack of security allows [criminals and authoritarian governments] to spy on their own people.""",whatsapp never secure telegram ceo pavel durov telegram co founder ceo pavel durov blog post title whatsapp never secure say facebook platform not open source make difficult security researcher check exist backdoor no wonder dictator seem love whatsapp say add lack security allow [ criminal authoritarian government ] spy people
WhatsApp warns clones to stop bulk text services in India,"WhatsApp has warned Indian firms which claimed they can help send bulk messages to stop operations. Reuters had reported apps like 'GBWhatsApp' and 'JTWhatsApp' were being used to bypass WhatsApp forwarding restrictions amid ongoing Lok Sabha elections. ""We ban approximately two million accounts and sent cease and desist letters to companies claiming to offer such services,"" said WhatsApp.",technology,"WhatsApp warns clones to stop bulk text services in India. WhatsApp has warned Indian firms which claimed they can help send bulk messages to stop operations. Reuters had reported apps like 'GBWhatsApp' and 'JTWhatsApp' were being used to bypass WhatsApp forwarding restrictions amid ongoing Lok Sabha elections. ""We ban approximately two million accounts and sent cease and desist letters to companies claiming to offer such services,"" said WhatsApp.",whatsapp warn clone stop bulk text service india whatsapp warn indian firm claim help send bulk message stop operation reuter report app like gbwhatsapp jtwhatsapp use bypass whatsapp forward restriction amid ongoing lok sabha election ban approximately two million account send cease desist letter company claim offer service say whatsapp
Instagram to shut down its standalone Direct messaging app,"Instagram has confirmed it is ""rolling back the test of the standalone Direct (messaging) app"". User conversations will automatically move to the Instagram app, as per an app notification shared on Twitter by social media consultant Matt Navarra. The notification also states that Instagram will end support for Direct, which first appeared in 2017, in the coming month.",technology,"Instagram to shut down its standalone Direct messaging app. Instagram has confirmed it is ""rolling back the test of the standalone Direct (messaging) app"". User conversations will automatically move to the Instagram app, as per an app notification shared on Twitter by social media consultant Matt Navarra. The notification also states that Instagram will end support for Direct, which first appeared in 2017, in the coming month.",instagram shut standalone direct messaging app instagram confirm roll back test standalone direct messaging app user conversation automatically move instagram app per app notification share twitter social medium consultant matt navarra notification also state instagram end support direct first appear come month
Watch Zidane's left-footed volley that won Real Madrid the CL,"Former midfielder Zinedine Zidane scored through a left-footed volley to help Real Madrid win the Champions League final against Bayer Leverkusen on May 15, 2002. Zidane pulled it off in the 45th minute by bundling a Roberto Carlos looping cross into the goal's top-left corner after hitting it from near the edge of the box. Madrid won the match 2-1.",sports,"Watch Zidane's left-footed volley that won Real Madrid the CL. Former midfielder Zinedine Zidane scored through a left-footed volley to help Real Madrid win the Champions League final against Bayer Leverkusen on May 15, 2002. Zidane pulled it off in the 45th minute by bundling a Roberto Carlos looping cross into the goal's top-left corner after hitting it from near the edge of the box. Madrid won the match 2-1.",watch zidane leave foot volley win real madrid cl former midfielder zinedine zidane score left foot volley help real madrid win champion league final bayer leverkusen may zidane pull th minute bundle roberto carlo loop cross goal top left corner hit near edge box madrid win match
Shreyas Iyer better captain than Kohli in IPL 2019: Manjrekar,"Commentator and former India cricketer Sanjay Manjrekar has rated Delhi Capitals skipper Shreyas Iyer as a better captain than Royal Challengers Bangalore captain Virat Kohli in the IPL 2019. Manjrekar gave 8/10 to Iyer, while Kohli got 6/10 for his captaincy. Delhi Capitals were knocked out in the playoffs, while Royal Challengers Bangalore finished last in the tournament.",sports,"Shreyas Iyer better captain than Kohli in IPL 2019: Manjrekar. Commentator and former India cricketer Sanjay Manjrekar has rated Delhi Capitals skipper Shreyas Iyer as a better captain than Royal Challengers Bangalore captain Virat Kohli in the IPL 2019. Manjrekar gave 8/10 to Iyer, while Kohli got 6/10 for his captaincy. Delhi Capitals were knocked out in the playoffs, while Royal Challengers Bangalore finished last in the tournament.",shreyas iyer well captain kohli ipl manjrekar commentator former india cricketer sanjay manjrekar rate delhi capital skipper shreyas iyer well captain royal challenger bangalore captain virat kohli ipl manjrekar give iyer kohli get captaincy delhi capital knock playoff royal challenger bangalore finish last tournament
Sick of seeing same dumb comments: NZ player deletes tweet on Dhoni,"New Zealand all-rounder Jimmy Neesham said he deleted his tweet about MS Dhoni's run-out in IPL 2019 final as he's ""sick of seeing the same dumb comments"" in his feed ""200 times a day"". In the deleted tweet, Neesham had said it ""astounded"" him how fans claimed Dhoni was not-out. ""Please don't bother tweeting me about it again,"" he added. ",sports,"Sick of seeing same dumb comments: NZ player deletes tweet on Dhoni. New Zealand all-rounder Jimmy Neesham said he deleted his tweet about MS Dhoni's run-out in IPL 2019 final as he's ""sick of seeing the same dumb comments"" in his feed ""200 times a day"". In the deleted tweet, Neesham had said it ""astounded"" him how fans claimed Dhoni was not-out. ""Please don't bother tweeting me about it again,"" he added. ",sick see dumb comment nz player delete tweet dhoni new zealand rounder jimmy neesham say delete tweet ms dhoni run ipl final sick see dumb comment feed time day delete tweet neesham say astound fan claim dhoni not please not bother tweet add
"Dad helped me get here, feels good to see him happy: Shubman Gill","On being asked about his father doing bhangra after he scored fifty in an IPL 2019 match, KKR batsman Shubman Gill said it felt so good to him. ""He has made me work so hard, helped me get here and to know he's happy and enjoying my game [feels good]. What better than this for...father from a son,"" he added.",sports,"Dad helped me get here, feels good to see him happy: Shubman Gill. On being asked about his father doing bhangra after he scored fifty in an IPL 2019 match, KKR batsman Shubman Gill said it felt so good to him. ""He has made me work so hard, helped me get here and to know he's happy and enjoying my game [feels good]. What better than this for...father from a son,"" he added.",dad help get feel good see happy shubman gill ask father bhangra score fifty ipl match kkr batsman shubman gill say feel good make work hard help get know happy enjoy game [ feel good ] better father son add
World Cup snub will hit me once I watch it on TV: Josh Hazlewood,"Australia fast bowler Josh Hazlewood has said that not making it to the World Cup squad was ""obviously bitterly disappointing"". ""It only comes around every four years...It'll probably hit me a bit once the tournament starts and you're watching on TV. It's pretty hard. It's not just a normal ODI series, it's a World Cup,"" he added.",sports,"World Cup snub will hit me once I watch it on TV: Josh Hazlewood. Australia fast bowler Josh Hazlewood has said that not making it to the World Cup squad was ""obviously bitterly disappointing"". ""It only comes around every four years...It'll probably hit me a bit once the tournament starts and you're watching on TV. It's pretty hard. It's not just a normal ODI series, it's a World Cup,"" he added.",world cup snub hit watch tv josh hazlewood australia fast bowler josh hazlewood say not make world cup squad obviously bitterly disappointing come around every four year probably hit bit tournament start watch tv pretty hard not normal odi series world cup add
All players score 0 as Kasaragod U-19 girls' team get all out for 4,"During an Under-19 inter-district match in Kerala's Malappuram district, Kasaragod's girls team got all out for four against Wayanad. All the 11 players scored a duck each, with 10 of them getting bowled, while one remained not out on 0. Wayanad conceded four extras and chased down the target of five runs in just one over without losing a wicket.",sports,"All players score 0 as Kasaragod U-19 girls' team get all out for 4. During an Under-19 inter-district match in Kerala's Malappuram district, Kasaragod's girls team got all out for four against Wayanad. All the 11 players scored a duck each, with 10 of them getting bowled, while one remained not out on 0. Wayanad conceded four extras and chased down the target of five runs in just one over without losing a wicket.",player score kasaragod u girl team get inter district match kerala malappuram district kasaragod girl team get four wayanad player score duck get bowl one remain not wayanad concede four extra chase target five run one without lose wicket
Is this another fart: Aus opener recalls Pune Test toilet incident,"Recalling getting retired hurt owing to an upset stomach in 2017 Pune Test, Australian opener Matt Renshaw revealed while batting ""uncomfortably"", he asked himself, ""Is this another fart or...something a bit more serious?"" He added he was almost going to ""shit himself on field"". He further said that he had gone ""onto all fours"" and ""just got to the toilet"". ",sports,"Is this another fart: Aus opener recalls Pune Test toilet incident. Recalling getting retired hurt owing to an upset stomach in 2017 Pune Test, Australian opener Matt Renshaw revealed while batting ""uncomfortably"", he asked himself, ""Is this another fart or...something a bit more serious?"" He added he was almost going to ""shit himself on field"". He further said that he had gone ""onto all fours"" and ""just got to the toilet"". ",another fart aus opener recall pune test toilet incident recall get retire hurt owe upset stomach pune test australian opener matt renshaw reveal bat uncomfortably ask another fart something bit serious add almost go shit field say go onto four get toilet
Djokovic has a sick obsession with wanting to be liked: Kyrgios,"Australian tennis player Nick Kyrgios has said he feels world number one Novak Djokovic has a sick obsession with ""wanting to be liked"". Adding he can't stand Djokovic, Kyrgios said, ""This whole celebration thing (blowing kisses to the crowd) that he does...It's very cringeworthy."" ""No matter how many grand slams he wins...he'll never be the greatest for me,"" he added.",sports,"Djokovic has a sick obsession with wanting to be liked: Kyrgios. Australian tennis player Nick Kyrgios has said he feels world number one Novak Djokovic has a sick obsession with ""wanting to be liked"". Adding he can't stand Djokovic, Kyrgios said, ""This whole celebration thing (blowing kisses to the crowd) that he does...It's very cringeworthy."" ""No matter how many grand slams he wins...he'll never be the greatest for me,"" he added.",djokovic sick obsession want like kyrgio australian tennis player nick kyrgio say feel world number one novak djokovic sick obsession want like add not stand djokovic kyrgio say whole celebration thing blow kiss crowd cringeworthy no matter many grand slam win never great add
Former swimming champion MB Balakrishnan dies in accident aged 29,"Tamil Nadu swimmer and South Asian Games gold medalist MB Balakrishnan died in a road accident in Chennai on Tuesday night. The 29-year-old was riding his bike when he fell under a mixer lorry, which ran over and killed him. Balakrishnan was until recently working in the US and came back to India after his visa application was denied. ",sports,"Former swimming champion MB Balakrishnan dies in accident aged 29. Tamil Nadu swimmer and South Asian Games gold medalist MB Balakrishnan died in a road accident in Chennai on Tuesday night. The 29-year-old was riding his bike when he fell under a mixer lorry, which ran over and killed him. Balakrishnan was until recently working in the US and came back to India after his visa application was denied. ",former swimming champion mb balakrishnan die accident age tamil nadu swimmer south asian game gold medalist mb balakrishnan die road accident chennai tuesday night year old ride bike fall mixer lorry run kill balakrishnan recently work us come back india visa application deny
