,Class,
426,[2.0],2
427,[3.0],3
428,[3.0],3
429,[3.0],3
430,[1.0],1
431,[3.0],3
432,[2.0],2
433,[3.0],3
434,[2.0],2
435,[1.0],1
436,[3.0],3
437,[3.0],3
438,[1.0],1
439,[3.0],3
440,[2.0],2
441,[1.0],1
442,[1.0],1
443,[2.0],2
444,[2.0],2
445,[1.0],1
446,[1.0],1
447,[2.0],2
448,[1.0],1
449,[3.0],3
450,[1.0],1
451,[3.0],3
452,[2.0],2
453,[1.0],1
454,[2.0],2
455,[1.0],1
456,[2.0],2
457,[1.0],1
458,[3.0],3
459,[3.0],3
460,[2.0],2
461,[3.0],3
462,[3.0],3
463,[1.0],1
464,[3.0],3
465,[1.0],1
466,[3.0],3
467,[3.0],3
468,[1.0],1
469,[1.0],1
470,[3.0],3
471,[1.0],1
472,[1.0],1
473,[1.0],1
474,[2.0],2
475,[3.0],3
476,[1.0],1
477,[1.0],1
478,[2.0],2
479,[1.0],1
480,[3.0],3
481,[1.0],1
482,[3.0],3
483,[2.0],2
484,[3.0],3
485,[3.0],3
486,[1.0],1
487,[1.0],1
488,[1.0],1
489,[1.0],1
490,[2.0],2
491,[1.0],1
492,[3.0],3
493,[2.0],2
494,[2.0],2
495,[3.0],3
496,[2.0],2
497,[1.0],1
498,[1.0],1
499,[3.0],3
500,[3.0],3
501,[1.0],1
502,[3.0],3
503,[3.0],3
504,[1.0],1
505,[1.0],1
506,[3.0],3
507,[1.0],1
508,[1.0],1
509,[1.0],1
510,[3.0],3
511,[3.0],3
512,[2.0],2
513,[3.0],3
514,[2.0],2
515,[1.0],1
516,[1.0],1
517,[3.0],3
518,[2.0],2
519,[1.0],1
520,[3.0],3
521,[2.0],2
522,[2.0],2
523,[1.0],1
524,[2.0],2
525,[1.0],1
526,[3.0],3
527,[3.0],3
528,[1.0],1
529,[2.0],2
530,[2.0],2
531,[3.0],3
532,[3.0],3
533,[1.0],1
534,[3.0],3
535,[1.0],1
536,[3.0],3
537,[1.0],1
538,[3.0],3
539,[3.0],3
540,[2.0],2
541,[3.0],3
542,[1.0],1
543,[3.0],3
544,[3.0],3
545,[2.0],2
546,[1.0],1
547,[2.0],2
548,[1.0],1
549,[3.0],3
550,[3.0],3
551,[1.0],1
552,[1.0],1
553,[2.0],2
554,[2.0],2
555,[1.0],1
556,[1.0],1
557,[2.0],2
558,[1.0],1
559,[2.0],2
560,[1.0],1
561,[1.0],1
562,[2.0],2
563,[2.0],2
564,[1.0],1
565,[2.0],2
566,[3.0],3
567,[1.0],1
568,[2.0],2
569,[3.0],3
570,[1.0],1
571,[3.0],3
572,[1.0],1
573,[3.0],3
574,[1.0],1
575,[3.0],3
576,[3.0],3
577,[3.0],3
578,[1.0],1
579,[1.0],1
580,[3.0],3
581,[1.0],1
582,[1.0],1
583,[1.0],1
584,[2.0],2
585,[1.0],1
586,[3.0],3
587,[1.0],1
588,[3.0],3
589,[3.0],3
590,[3.0],3
591,[2.0],2
592,[3.0],3
593,[3.0],3
594,[3.0],3
595,[1.0],1
596,[1.0],1
597,[3.0],3
598,[2.0],2
599,[2.0],2
600,[2.0],2
601,[2.0],2
602,[3.0],3
603,[3.0],3
604,[3.0],3
605,[1.0],1
606,[3.0],3
607,[2.0],2
608,[2.0],2
609,[2.0],2
610,[1.0],1
611,[2.0],2
612,[1.0],1
613,[1.0],1
614,[2.0],2
615,[3.0],3
616,[2.0],2
617,[3.0],3
618,[1.0],1
619,[1.0],1
620,[2.0],2
621,[1.0],1
622,[2.0],2
623,[3.0],3
624,[3.0],3
625,[1.0],1
626,[2.0],2
627,[1.0],1
628,[3.0],3
629,[3.0],3
630,[1.0],1
631,[2.0],2
632,[2.0],2
633,[2.0],2
634,[1.0],1
635,[3.0],3
636,[2.0],2
637,[2.0],2
638,[2.0],2
639,[2.0],2
640,[2.0],2
641,[1.0],1
642,[1.0],1
643,[1.0],1
644,[2.0],2
645,[3.0],3
646,[2.0],2
647,[1.0],1
648,[2.0],2
649,[2.0],2
650,[1.0],1
651,[3.0],3
652,[1.0],1
653,[3.0],3
654,[3.0],3
655,[2.0],2
656,[1.0],1
657,[1.0],1
658,[2.0],2
659,[1.0],1
660,[1.0],1
661,[3.0],3
662,[1.0],1
663,[2.0],2
664,[1.0],1
665,[1.0],1
666,[2.0],2
667,[3.0],3
668,[3.0],3
669,[1.0],1
670,[2.0],2
671,[2.0],2
672,[1.0],1
673,[1.0],1
674,[2.0],2
675,[1.0],1
676,[2.0],2
677,[2.0],2
678,[3.0],3
679,[2.0],2
680,[1.0],1
681,[3.0],3
682,[3.0],3
683,[2.0],2
684,[1.0],1
685,[3.0],3
686,[2.0],2
687,[1.0],1
688,[3.0],3
689,[3.0],3
690,[2.0],2
691,[2.0],2
692,[1.0],1
693,[2.0],2
694,[2.0],2
695,[3.0],3
696,[3.0],3
697,[1.0],1
698,[3.0],3
699,[2.0],2
700,[1.0],1
701,[3.0],3
702,[3.0],3
703,[2.0],2
704,[3.0],3
705,[1.0],1
706,[3.0],3
707,[2.0],2
708,[3.0],3
709,[2.0],2
710,[2.0],2
711,[3.0],3
712,[1.0],1
713,[1.0],1
714,[1.0],1
715,[1.0],1
716,[3.0],3
717,[1.0],1
718,[3.0],3
719,[3.0],3
720,[3.0],3
721,[1.0],1
722,[1.0],1
723,[2.0],2
724,[1.0],1
725,[3.0],3
726,[1.0],1
727,[1.0],1
728,[1.0],1
729,[1.0],1
730,[3.0],3
731,[2.0],2
732,[2.0],2
733,[3.0],3
734,[2.0],2
735,[3.0],3
736,[1.0],1
737,[1.0],1
738,[3.0],3
739,[3.0],3
740,[3.0],3
741,[2.0],2
742,[2.0],2
743,[1.0],1
744,[1.0],1
745,[2.0],2
746,[1.0],1
747,[2.0],2
748,[3.0],3
749,[2.0],2
750,[2.0],2
751,[3.0],3
752,[1.0],1
753,[1.0],1
754,[3.0],3
755,[1.0],1
756,[2.0],2
757,[1.0],1
758,[2.0],2
759,[3.0],3
760,[3.0],3
761,[1.0],1
762,[3.0],3
763,[3.0],3
764,[2.0],2
765,[3.0],3
766,[3.0],3
767,[3.0],3
768,[2.0],2
769,[2.0],2
770,[1.0],1
771,[3.0],3
772,[1.0],1
773,[2.0],2
774,[3.0],3
775,[3.0],3
776,[1.0],1
777,[1.0],1
778,[3.0],3
779,[2.0],2
780,[3.0],3
781,[2.0],2
782,[1.0],1
783,[3.0],3
784,[3.0],3
785,[2.0],2
786,[3.0],3
787,[2.0],2
788,[3.0],3
789,[1.0],1
790,[2.0],2
791,[1.0],1
792,[2.0],2
793,[1.0],1
794,[1.0],1
795,[2.0],2
796,[1.0],1
797,[3.0],3
798,[2.0],2
799,[1.0],1
800,[1.0],1
801,[2.0],2
802,[2.0],2
803,[1.0],1
804,[3.0],3
805,[3.0],3
806,[3.0],3
807,[3.0],3
808,[3.0],3
809,[3.0],3
810,[2.0],2
811,[2.0],2
812,[3.0],3
813,[1.0],1
814,[2.0],2
815,[2.0],2
816,[2.0],2
817,[1.0],1
818,[2.0],2
819,[2.0],2
820,[3.0],3
821,[1.0],1
822,[1.0],1
823,[1.0],1
824,[2.0],2
825,[1.0],1
826,[3.0],3
827,[3.0],3
828,[3.0],3
829,[1.0],1
830,[3.0],3
831,[3.0],3
832,[3.0],3
833,[3.0],3
834,[1.0],1
835,[3.0],3
836,[2.0],2
837,[3.0],3
838,[1.0],1
839,[2.0],2
840,[2.0],2
841,[2.0],2
842,[3.0],3
843,[1.0],1
844,[3.0],3
845,[3.0],3
846,[2.0],2
847,[2.0],2
848,[3.0],3
849,[3.0],3
850,[1.0],1
851,[3.0],3
852,[1.0],1
853,[3.0],3
854,[3.0],3
855,[1.0],1
856,[2.0],2
857,[1.0],1
858,[1.0],1
859,[3.0],3
860,[2.0],2
861,[3.0],3
862,[3.0],3
863,[3.0],3
864,[2.0],2
865,[2.0],2
866,[1.0],1
867,[2.0],2
868,[3.0],3
869,[1.0],1
870,[2.0],2
871,[3.0],3
872,[3.0],3
873,[1.0],1
874,[1.0],1
875,[2.0],2
876,[1.0],1
877,[2.0],2
878,[3.0],3
879,[1.0],1
880,[2.0],2
881,[3.0],3
882,[2.0],2
883,[3.0],3
884,[3.0],3
885,[3.0],3
886,[1.0],1
887,[3.0],3
888,[3.0],3
889,[3.0],3
890,[1.0],1
891,[3.0],3
892,[3.0],3
893,[2.0],2
894,[3.0],3
895,[1.0],1
896,[1.0],1
897,[3.0],3
898,[2.0],2
899,[1.0],1
900,[1.0],1
901,[3.0],3
902,[2.0],2
903,[3.0],3
904,[1.0],1
905,[1.0],1
906,[2.0],2
907,[3.0],3
908,[1.0],1
909,[3.0],3
910,[2.0],2
911,[3.0],3
912,[1.0],1
913,[3.0],3
914,[1.0],1
915,[1.0],1
916,[3.0],3
917,[3.0],3
918,[3.0],3
919,[3.0],3
920,[2.0],2
921,[3.0],3
922,[3.0],3
923,[1.0],1
924,[1.0],1
925,[3.0],3
926,[1.0],1
927,[1.0],1
928,[2.0],2
929,[1.0],1
930,[1.0],1
931,[3.0],3
932,[3.0],3
933,[2.0],2
934,[3.0],3
935,[2.0],2
936,[2.0],2
937,[3.0],3
938,[3.0],3
939,[2.0],2
940,[2.0],2
941,[1.0],1
942,[3.0],3
943,[1.0],1
944,[1.0],1
945,[1.0],1
946,[3.0],3
947,[3.0],3
948,[1.0],1
949,[1.0],1
950,[3.0],3
951,[1.0],1
952,[3.0],3
953,[2.0],2
954,[2.0],2
955,[3.0],3
956,[1.0],1
957,[2.0],2
958,[3.0],3
959,[1.0],1
960,[2.0],2
961,[1.0],1
962,[1.0],1
963,[3.0],3
964,[1.0],1
965,[2.0],2
966,[2.0],2
967,[3.0],3
968,[2.0],2
969,[1.0],1
970,[1.0],1
971,[1.0],1
972,[1.0],1
973,[3.0],3
974,[2.0],2
975,[3.0],3
976,[1.0],1
977,[1.0],1
978,[1.0],1
979,[3.0],3
980,[1.0],1
981,[1.0],1
982,[2.0],2
983,[2.0],2
984,[2.0],2
985,[3.0],3
986,[1.0],1
987,[1.0],1
988,[3.0],3
989,[3.0],3
990,[2.0],2
991,[1.0],1
992,[2.0],2
993,[3.0],3
994,[3.0],3
995,[1.0],1
996,[2.0],2
997,[3.0],3
998,[2.0],2
999,[3.0],3
1000,[2.0],2
1001,[3.0],3
1002,[1.0],1
1003,[3.0],3
1004,[2.0],2
1005,[2.0],2
1006,[2.0],2
1007,[2.0],2
1008,[2.0],2
1009,[1.0],1
1010,[1.0],1
1011,[1.0],1
1012,[2.0],2
1013,[1.0],1
1014,[2.0],2
1015,[1.0],1
1016,[2.0],2
1017,[1.0],1
1018,[3.0],3
1019,[2.0],2
1020,[1.0],1
1021,[3.0],3
1022,[1.0],1
1023,[2.0],2
1024,[3.0],3
1025,[3.0],3
1026,[2.0],2
1027,[1.0],1
1028,[1.0],1
1029,[2.0],2
1030,[2.0],2
1031,[3.0],3
1032,[3.0],3
1033,[3.0],3
1034,[2.0],2
1035,[3.0],3
1036,[1.0],1
1037,[1.0],1
1038,[1.0],1
1039,[1.0],1
1040,[3.0],3
1041,[2.0],2
1042,[3.0],3
1043,[3.0],3
1044,[1.0],1
1045,[3.0],3
1046,[3.0],3
1047,[1.0],1
1048,[2.0],2
1049,[1.0],1
1050,[1.0],1
1051,[1.0],1
1052,[1.0],1
1053,[3.0],3
1054,[3.0],3
1055,[3.0],3
1056,[1.0],1
1057,[3.0],3
1058,[1.0],1
1059,[1.0],1
1060,[2.0],2
1061,[3.0],3
1062,[3.0],3
1063,[1.0],1
1064,[2.0],2
1065,[2.0],2
1066,[2.0],2
1067,[1.0],1
1068,[3.0],3
1069,[3.0],3
1070,[1.0],1
1071,[3.0],3
1072,[3.0],3
1073,[3.0],3
1074,[3.0],3
1075,[2.0],2
1076,[1.0],1
1077,[2.0],2
1078,[2.0],2
1079,[3.0],3
1080,[3.0],3
1081,[3.0],3
1082,[1.0],1
1083,[3.0],3
1084,[3.0],3
1085,[3.0],3
1086,[1.0],1
1087,[2.0],2
1088,[2.0],2
1089,[1.0],1
1090,[3.0],3
1091,[2.0],2
1092,[1.0],1
1093,[3.0],3
1094,[2.0],2
1095,[3.0],3
1096,[3.0],3
1097,[1.0],1
1098,[2.0],2
1099,[1.0],1
1100,[2.0],2
1101,[3.0],3
1102,[2.0],2
1103,[2.0],2
1104,[2.0],2
1105,[3.0],3
1106,[1.0],1
1107,[1.0],1
1108,[2.0],2
1109,[1.0],1
1110,[3.0],3
1111,[3.0],3
1112,[3.0],3
1113,[2.0],2
1114,[3.0],3
1115,[2.0],2
1116,[3.0],3
1117,[2.0],2
1118,[2.0],2
1119,[3.0],3
1120,[2.0],2
1121,[2.0],2
1122,[2.0],2
1123,[2.0],2
1124,[3.0],3
1125,[2.0],2
1126,[1.0],1
1127,[3.0],3
1128,[2.0],2
1129,[1.0],1
1130,[2.0],2
1131,[3.0],3
1132,[1.0],1
1133,[1.0],1
1134,[3.0],3
1135,[3.0],3
1136,[2.0],2
1137,[1.0],1
1138,[2.0],2
1139,[1.0],1
1140,[1.0],1
1141,[1.0],1
1142,[2.0],2
1143,[1.0],1
1144,[1.0],1
1145,[1.0],1
1146,[3.0],3
1147,[2.0],2
1148,[3.0],3
1149,[3.0],3
1150,[3.0],3
1151,[1.0],1
1152,[1.0],1
1153,[3.0],3
1154,[3.0],3
1155,[3.0],3
1156,[1.0],1
1157,[3.0],3
1158,[3.0],3
1159,[2.0],2
1160,[2.0],2
1161,[3.0],3
1162,[1.0],1
1163,[1.0],1
1164,[1.0],1
1165,[3.0],3
1166,[2.0],2
1167,[3.0],3
1168,[2.0],2
1169,[3.0],3
1170,[2.0],2
1171,[3.0],3
1172,[1.0],1
1173,[2.0],2
1174,[1.0],1
1175,[3.0],3
1176,[3.0],3
1177,[2.0],2
1178,[2.0],2
1179,[3.0],3
1180,[2.0],2
1181,[2.0],2
1182,[3.0],3
1183,[3.0],3
1184,[3.0],3
1185,[3.0],3
1186,[1.0],1
1187,[2.0],2
1188,[2.0],2
1189,[3.0],3
1190,[3.0],3
1191,[3.0],3
1192,[1.0],1
1193,[3.0],3
1194,[1.0],1
1195,[3.0],3
1196,[3.0],3
1197,[3.0],3
1198,[1.0],1
1199,[3.0],3
1200,[3.0],3
1201,[2.0],2
1202,[3.0],3
1203,[2.0],2
1204,[2.0],2
1205,[2.0],2
1206,[1.0],1
1207,[1.0],1
1208,[1.0],1
1209,[3.0],3
1210,[2.0],2
1211,[2.0],2
1212,[1.0],1
1213,[1.0],1
1214,[2.0],2
1215,[3.0],3
1216,[1.0],1
1217,[2.0],2
1218,[3.0],3
1219,[3.0],3
1220,[3.0],3
1221,[2.0],2
1222,[1.0],1
1223,[1.0],1
1224,[3.0],3
1225,[3.0],3
1226,[1.0],1
1227,[2.0],2
1228,[1.0],1
1229,[2.0],2
1230,[3.0],3
1231,[3.0],3
1232,[1.0],1
1233,[2.0],2
1234,[3.0],3
1235,[3.0],3
1236,[3.0],3
1237,[2.0],2
1238,[3.0],3
1239,[1.0],1
1240,[3.0],3
1241,[1.0],1
1242,[2.0],2
1243,[3.0],3
1244,[2.0],2
1245,[1.0],1
1246,[3.0],3
1247,[1.0],1
1248,[3.0],3
1249,[3.0],3
1250,[1.0],1
1251,[3.0],3
1252,[2.0],2
1253,[1.0],1
1254,[3.0],3
1255,[3.0],3
1256,[3.0],3
1257,[2.0],2
1258,[3.0],3
1259,[2.0],2
1260,[3.0],3
1261,[2.0],2
1262,[1.0],1
1263,[2.0],2
1264,[3.0],3
1265,[3.0],3
1266,[3.0],3
1267,[1.0],1
1268,[3.0],3
1269,[2.0],2
1270,[2.0],2
1271,[3.0],3
1272,[3.0],3
1273,[1.0],1
1274,[3.0],3
1275,[1.0],1
1276,[2.0],2
1277,[1.0],1
1278,[3.0],3
1279,[2.0],2
1280,[1.0],1
1281,[3.0],3
1282,[1.0],1
1283,[3.0],3
1284,[1.0],1
1285,[3.0],3
1286,[1.0],1
1287,[3.0],3
1288,[2.0],2
1289,[1.0],1
1290,[1.0],1
1291,[2.0],2
1292,[3.0],3
1293,[2.0],2
1294,[2.0],2
1295,[2.0],2
1296,[3.0],3
1297,[2.0],2
1298,[3.0],3
1299,[2.0],2
1300,[2.0],2
1301,[3.0],3
1302,[2.0],2
1303,[2.0],2
1304,[1.0],1
1305,[3.0],3
1306,[3.0],3
1307,[1.0],1
1308,[3.0],3
1309,[2.0],2
1310,[1.0],1
1311,[3.0],3
1312,[3.0],3
1313,[3.0],3
1314,[3.0],3
1315,[2.0],2
1316,[2.0],2
1317,[1.0],1
1318,[1.0],1
1319,[3.0],3
1320,[1.0],1
1321,[1.0],1
1322,[1.0],1
1323,[1.0],1
1324,[2.0],2
1325,[3.0],3
1326,[1.0],1
1327,[2.0],2
1328,[1.0],1
1329,[3.0],3
1330,[1.0],1
1331,[3.0],3
1332,[2.0],2
1333,[3.0],3
1334,[1.0],1
1335,[2.0],2
1336,[3.0],3
1337,[1.0],1
1338,[3.0],3
1339,[3.0],3
1340,[2.0],2
1341,[2.0],2
1342,[3.0],3
1343,[3.0],3
1344,[3.0],3
1345,[1.0],1
1346,[1.0],1
1347,[3.0],3
1348,[2.0],2
1349,[1.0],1
1350,[3.0],3
1351,[2.0],2
1352,[3.0],3
1353,[3.0],3
1354,[1.0],1
1355,[3.0],3
1356,[1.0],1
1357,[1.0],1
1358,[2.0],2
1359,[2.0],2
1360,[1.0],1
1361,[2.0],2
1362,[1.0],1
1363,[3.0],3
1364,[3.0],3
1365,[2.0],2
1366,[3.0],3
1367,[3.0],3
1368,[3.0],3
1369,[1.0],1
1370,[1.0],1
1371,[1.0],1
1372,[3.0],3
1373,[3.0],3
1374,[3.0],3
1375,[2.0],2
1376,[2.0],2
1377,[2.0],2
1378,[3.0],3
1379,[3.0],3
1380,[3.0],3
1381,[1.0],1
1382,[3.0],3
1383,[1.0],1
1384,[2.0],2
1385,[2.0],2
1386,[2.0],2
1387,[1.0],1
1388,[3.0],3
1389,[2.0],2
1390,[1.0],1
1391,[3.0],3
1392,[1.0],1
1393,[1.0],1
1394,[1.0],1
1395,[3.0],3
1396,[1.0],1
1397,[2.0],2
1398,[1.0],1
1399,[2.0],2
1400,[2.0],2
1401,[3.0],3
1402,[1.0],1
1403,[2.0],2
1404,[3.0],3
1405,[1.0],1
1406,[3.0],3
1407,[1.0],1
1408,[2.0],2
1409,[3.0],3
1410,[1.0],1
1411,[1.0],1
1412,[1.0],1
1413,[3.0],3
1414,[3.0],3
1415,[2.0],2
1416,[2.0],2
1417,[1.0],1
1418,[2.0],2
1419,[1.0],1
1420,[1.0],1
1421,[2.0],2
1422,[2.0],2
1423,[2.0],2
1424,[2.0],2
1425,[1.0],1
1426,[1.0],1
1427,[2.0],2
1428,[3.0],3
1429,[2.0],2
1430,[3.0],3
1431,[3.0],3
1432,[3.0],3
1433,[3.0],3
1434,[2.0],2
1435,[1.0],1
1436,[2.0],2
1437,[3.0],3
1438,[2.0],2
1439,[3.0],3
1440,[1.0],1
1441,[1.0],1
1442,[3.0],3
1443,[2.0],2
1444,[3.0],3
1445,[1.0],1
1446,[1.0],1
1447,[2.0],2
1448,[1.0],1
1449,[1.0],1
1450,[1.0],1
1451,[1.0],1
1452,[3.0],3
1453,[2.0],2
1454,[1.0],1
1455,[3.0],3
1456,[3.0],3
1457,[3.0],3
1458,[3.0],3
1459,[3.0],3
1460,[3.0],3
1461,[3.0],3
1462,[3.0],3
1463,[3.0],3
1464,[1.0],1
1465,[3.0],3
1466,[2.0],2
1467,[2.0],2
1468,[3.0],3
1469,[3.0],3
1470,[3.0],3
1471,[1.0],1
1472,[3.0],3
1473,[1.0],1
1474,[3.0],3
1475,[3.0],3
1476,[1.0],1
1477,[3.0],3
1478,[2.0],2
1479,[3.0],3
1480,[2.0],2
1481,[3.0],3
1482,[2.0],2
1483,[2.0],2
1484,[3.0],3
1485,[1.0],1
1486,[2.0],2
1487,[2.0],2
1488,[2.0],2
1489,[3.0],3
1490,[2.0],2
1491,[1.0],1
1492,[3.0],3
1493,[3.0],3
1494,[2.0],2
1495,[3.0],3
1496,[1.0],1
1497,[1.0],1
1498,[1.0],1
